2,1000020168114,01,1,2018-04-03,2015-10-05,"三郷利田用水市町村組合",,201,"富山県","富山市","水橋小路１７番地",,16,201,9393554,,,,,,,2015-10-05,1,"Sangouritayousui Shichousonkumiai","Toyama","17,mizuhashishoji, Toyama city",,"サンゴウリタヨウスイシチョウソンクミアイ",0
3,1000020169005,01,1,2018-04-03,2015-10-05,"高岡地区広域圏事務組合",,201,"富山県","氷見市","上田子字笹谷内５０番地",,16,205,9350035,,,,,,,2015-10-05,1,,,,,"タカオカチクコウイキケンジムクミアイ",0
4,1000020169013,01,1,2018-04-03,2015-10-05,"富山県市町村会館管理組合",,201,"富山県","富山市","下野９９５番地の３（市町村会館内",,16,201,9300871,,,,,,,2015-10-05,1,,,,,"トヤマケンシチョウソンカイカンカンリクミアイ",0
5,1000020169129,01,1,2018-04-03,2015-10-05,"富山県後期高齢者医療広域連合",,201,"富山県","富山市","婦中町速星７５４番地富山市婦中行政サービスセンター５Ｆ",,16,201,9392706,,,,,,,2015-10-05,1,"Union of Toyama prefecture Late-stage elderly medical insurance Goverments","Toyama","754,Fuchumachi hayahoshi, Toyama-city",,"トヤマケンコウキコウレイシャイリョウコウイキレンゴウ",0
6,1000020169137,01,1,2018-04-03,2015-10-05,"砺波地域消防組合",,201,"富山県","砺波市","大辻５０１番地",,16,208,9391328,,,,,,,2015-10-05,1,,,,,"トナミチイキショウボウクミアイ",0
7,1000020169145,01,1,2018-04-03,2015-10-05,"富山県東部消防組合",,201,"富山県","魚津市","本江３１９７番地１",,16,204,9370805,,,,,,,2015-10-05,1,"Toyama Toubu Fire Department","Toyama","3197-1,Hongou, Uozu shi",,"トヤマケントウブショウボウクミアイ",0
8,1000020169153,01,1,2018-04-03,2015-10-05,"新川地域消防組合",,201,"富山県","黒部市","植木７６１番地１",,16,207,9380014,,,,,,,2015-10-05,1,,,,,"ニイカワチイキショウボウクミアイ",0
3667,2000020162108,01,1,2018-04-03,2015-10-05,"南砺市",,201,"富山県","南砺市","苗島４８８０番地",,16,210,9391521,,,,,,,2015-10-05,1,"Nanto City","Toyama","4880 Nojima, Nanto city",,"ナントシ",0
3668,2000020162116,12,1,2018-04-03,2016-10-11,"射水市",,201,"富山県","射水市","新開発４１０番地１",,16,211,9390284,,,,,,,2015-10-05,1,"Imizu City Office","Toyama","Shinkaihotsu410-1, Imizu City",,"イミズシ",0
3669,2000020168971,01,1,2018-04-03,2015-10-05,"富山地区広域圏事務組合",,201,"富山県","中新川郡立山町","末三賀１０３番地３",,16,323,9300247,,,,,,,2015-10-05,1,"Association for broader area of Toyama District","Toyama","103-3,Suesanga, Nakaniikawagun Tateyama-machi",,"トヤマチクコウイキケンジムクミアイ",0
3670,2000020169111,01,1,2018-04-03,2015-10-05,"滑川中新川地区広域情報事務組合",,201,"富山県","滑川市","開６７６番地滑川市ＳＯＨＯセンター内",,16,206,9360835,,,,,,,2015-10-05,1,,,,,"ナメリカワナカニイカワチクコウイキジョウホウジムクミアイ",0
7320,3000020168921,01,1,2018-04-03,2015-10-05,"新川広域圏事務組合",,201,"富山県","魚津市","北鬼江３１３番２魚津市役所第一分庁舎内",,16,204,9370066,,,,,,,2015-10-05,1,,,,,"ニイカワコウイキケンジムクミアイ",0
10917,4000020163228,01,1,2018-04-03,2015-10-05,"上市町",,201,"富山県","中新川郡上市町","法音寺１番地",,16,322,9300353,,,,,,,2015-10-05,1,"Kamiichi Town Office","Toyama","1,Houonji, Kamiichi Town",,"カミイチマチ",0
