1,1000020244708,01,1,2018-04-05,2015-10-05,"度会町",,201,"三重県","度会郡度会町","棚橋１２１５－１",,24,470,5162103,,,,,,,2015-10-05,1,"Watarai Town","Mie","1215-1,Tanahashi, Watarai cho,Watarai gun",,"ワタライチヨウ",0
2,1000020244716,01,1,2018-04-05,2015-10-05,"大紀町",,201,"三重県","度会郡大紀町","滝原１６１０－１",,24,471,5192703,,,,,,,2015-10-05,1,,,,,"タイキチヨウ",0
3,1000020244724,01,1,2018-04-05,2015-10-05,"南伊勢町",,201,"三重県","度会郡南伊勢町","五ケ所浦３０５７",,24,472,5160101,,,,,,,2015-10-05,1,,,,,"ミナミイセチヨウ",0
4,1000020245615,01,1,2018-04-05,2015-10-05,"御浜町",,201,"三重県","南牟婁郡御浜町","大字阿田和６１２０－１",,24,561,5195204,,,,,,,2015-10-05,1,"Mihama Town","Mie","6120-1,Atawa, Mihama cho,Minamimuro gun",,"ミハマチヨウ",0
5,1000020245623,01,1,2018-04-05,2015-10-05,"紀宝町",,201,"三重県","南牟婁郡紀宝町","鵜殿３２４",,24,562,5195701,,,,,,,2015-10-05,1,,,,,"キホウチヨウ",0
6,1000020248592,01,1,2018-04-05,2015-10-05,"奥伊勢広域行政組合",,201,"三重県","多気郡大台町","菅合１６２１番地３",,24,443,5192412,,,,,,,2015-10-05,1,"okuiseLarge Area Administrative union","Mie","1621-3,Sugaai, Odai cho,Taki gun",,"オクイセコウイキギョウセイクミアイ",0
7,1000020249203,01,1,2018-04-05,2015-10-05,"鳥羽志勢広域連合",,201,"三重県","志摩市","磯部町迫間２２番地",,24,215,5170214,,,,,,,2015-10-05,1,"Union of Tobashisei Goverments","Mie","22,Hasama, Isobe cho,Shima shi",,"トバシセイコウイキレンゴウ",0
8,1000020249211,12,1,2018-04-05,2016-04-01,"紀北広域連合",,201,"三重県","北牟婁郡紀北町","船津８８１番地３",,24,543,5193405,,,,,,,2015-10-05,1,"Union of Kihoku Goverments","Mie","881-3,Funatsu, Kihoku cho,Kitamuro gun",,"キホクコウイキレンゴウ",0
9,1000020249319,21,1,2018-04-05,2017-03-31,"伊勢地域農業共済事務組合",,201,"三重県","伊勢市","御薗町長屋１２２１番地（伊勢市役所御薗総合支所内）",,24,203,5160804,,,2017-03-31,31,,,2015-10-05,1,,,,,"イセチイキノウギョウキョウサイジムクミアイ",0
10,1000020249327,21,1,2018-04-05,2017-03-31,"東紀州農業共済事務組合",,201,"三重県","熊野市","井戸町４５０番地１",,24,212,5194324,,,2017-03-31,31,,,2015-10-05,1,,,,,"ヒガシキシュウノウギョウキョウサイジムクミアイ",0
11,1000020249335,01,1,2018-04-05,2015-10-05,"伊勢広域環境組合",,201,"三重県","伊勢市","西豊浜町６５３番地",,24,203,5150505,,,,,,,2015-10-05,1,,,,,"イセコウイキカンキョウクミアイ",0
12,1000020249343,01,1,2018-04-05,2015-10-05,"三重地方税管理回収機構",,201,"三重県","津市","桜橋３丁目４４６番地３４（三重県津庁舎内）",,24,201,5140003,,,,,,,2015-10-05,1,"Mie Outstanding Tax Recovery Authority","Mie","3-446-34,Sakurabashi, Tsu shi",,"ミエチホウゼイカンリカイシュウキコウ",0
13,1000020249351,01,1,2018-04-05,2015-10-05,"三重県後期高齢者医療広域連合",,201,"三重県","津市","桜橋２丁目９６番地（三重県自治会館内）",,24,201,5140003,,,,,,,2015-10-05,1,"Mie Prefecture Association of Medical Care Services for Older Senior Citizens","Mie","2-96, Sakurabashi, Tsu shi",,"ミエケンコウキコウレイシャイリョウコウイキレンゴウ",0
10977,3000020242098,01,1,2018-04-05,2015-10-05,"尾鷲市",,201,"三重県","尾鷲市","中央町１０－４３",,24,209,5193615,,,,,,,2015-10-05,1,"Owase City","Mie","10-43 Chuo cho, Owase shi",,"オワセシ",0
10978,3000020248525,01,1,2018-04-05,2015-10-05,"紀南病院組合",,201,"三重県","南牟婁郡御浜町","大字阿田和４７５０番地",,24,561,5195204,,,,,,,2015-10-05,1,"kinan hospital","Mie","4750,Atawa, Mihama cho,Minamimuro gun",,"キナンビョウインクミアイ",0
10979,3000020248533,01,1,2018-04-05,2015-10-05,"朝日町、川越町組合立環境クリーンセンター",,201,"三重県","四日市市","川北町墨縄８２２番地",,24,202,5108032,,,,,,,2015-10-05,1,,,,,"アサヒチョウカワゴエチョウクミアイリツカンキョウクリーンセンター",0
10980,3000020248665,21,1,2018-04-05,2016-03-31,"菊狭間環境整備施設組合",,201,"三重県","伊勢市","西豊浜町６５４番地",,24,203,5150505,,,2016-03-31,31,,,2015-10-05,1,,,,,"キクハザマカンキョウセイビシセツクミアイ",0
10981,3000020248789,01,1,2018-04-05,2015-10-05,"南牟婁清掃施設組合",,201,"三重県","南牟婁郡御浜町","大字阿田和２０５３番地",,24,561,5195204,,,,,,,2015-10-05,1,"Minamimuro Cleaning Facilities Association","Mie","2053,Atawa, Mihama cho,Minamimuro gun",,"ミナミムロセイソウシセツクミアイ",0
